Name,Symbol,YTD,3MO,1YR,3YR,5YR,10YR,Yield,rating,Expense ratio,tenure,assets,category
BEA Intl Equity Instl,RBIEX,20.64,13.66,20.64,15.82,8.24,,1.15,***,1.16,6,"687,624,024",International
Reserve International Equity,RIEAX,18.97,16.15,18.97,7.97,,,0,***,2,3,"11,920,102",International
ABN AMRO International Equity Comm,RIEQX,25.43,22.35,25.43,13.02,11.21,,0.49,****,1.35,1,"142,858,478",International
Republic International Equity,RINEX,12.44,17.23,12.44,12.39,,,1.03,****,1.11,3,"149,364,954",International
RSI Retirement Trust Intl Equity,RSTEX,14.79,16.86,14.79,8.69,7.79,6.74,0,***,1.96,14,"34,080,739",International
Schroder International Inv,SCIEX,13.52,13.03,13.52,8.85,7.49,8.57,0.99,***,0.99,1,"127,298,376",International
Scudder International,SCINX,18.62,14.82,18.62,13.63,9.82,10.62,0,****,1.18,5,"2,878,773,337",International
Standish International Equity,SDIEX,24.53,16.22,24.53,9.28,4.39,6.37,1.25,***,0.5,2,"41,677,920",International
Boston 1784 International Equity,SEEQX,12.45,16.75,12.45,8.2,,,0.22,***,1.24,4,"446,226,090",International
SEI International Equity A,SEITX,19.29,19.35,19.29,8.48,7.28,,1.67,***,1.21,1,"1,190,115,416",International
Safeco International Stock No Load,SFISX,14.26,19.24,14.26,,,,0,,1.63,2,"22,110,783",International
STI Classic Intl Equity Index Tr,SIEIX,30.02,21.26,30.02,14.54,,,1.73,****,1.06,4,"55,258,745",International
Saratoga International Equity,SIEPX,13.22,13.86,13.22,8.85,,,0.8,***,1.4,,"22,349,762",International
Scudder International Growth & Income,SIGIX,9.45,12.22,9.45,,,,0.79,,1.75,1,"52,406,915",International
SSgA International Growth Opport,SINGX,,20.31,,,,,,,1.1,0,"29,027,963",International
Sit International Growth,SNGRX,18.95,19.97,18.95,11.21,7.85,,0.29,***,1.5,7,"96,108,925",International
Bernstein International Value,SNIVX,10.95,11.45,10.95,12.51,9.82,,4.98,****,1.27,6,"5,147,500,021",International
Scudder Pathway International,SPIPX,4.83,12.37,4.83,,,,0.79,,,2,"9,027,776",International
Stein Roe International,SRITX,11.48,17.8,11.48,5.23,,,0.9,***,1.55,3,"129,766,096",International
SSgA Active International,SSAIX,13.54,17.12,13.54,1.99,,,3.89,***,1,3,"97,767,795",International
Sextant International,SSIFX,5.6,23.83,5.6,12.66,,,0,****,1.51,3,"885,391",International
State Street Research Intl Equity S,SSNCX,23.57,16.21,23.57,5.06,4.67,,2.1,***,1.65,0,"13,610,753",International
Strong International Stock,STISX,-7.04,9.63,-7.04,-4.8,-1.74,,2.06,**,1.6,0,"95,373,829",International
STI Classic International Equity Tr,STITX,11.22,16.88,11.22,15.45,,,0.4,****,1.47,0,"564,266,012",International
Schwab MarketManager International,SWOIX,13.29,13.4,13.29,,,,1.17,,0.5,2,"86,000,000",International
Target International Equity,TAIEX,15.49,18.03,15.49,13.76,11.22,,0.61,****,0.93,5,"238,104,308",International
Templeton Instl Foreign Equity,TFEQX,10.16,14.16,10.16,14.28,11.07,,2.14,****,0.84,2,"4,528,689,159",International
Templeton Foreign Adv,TFFAX,-4.77,12.12,-4.77,,,,3.05,,0.87,1,"56,783,920",International
American Cent-20th Cent Intl Grth Is,TGRIX,19.27,15.19,19.27,,,,0.38,,1.18,1,"14,438,259",International
American Cent-20th Cent Intl Disc Is,TIDIX,17.55,13.8,17.55,,,,0,,,0,"63,104,115",International
Consulting Group International Equity,TIEUX,22.61,19.03,22.61,9.34,9.44,,1.26,***,0.97,,"1,397,529,000",International
TIAA-CREF International Equity,TIINX,19.27,21.86,19.27,,,,0.93,,,1,"111,692,000",International
Touchstone International Equity C,TOQCX,18.99,12.59,18.99,14.76,,,0,****,2.35,3,"5,231,703",International
UAM TS&W International Equity,TSWIX,8.26,12.58,8.26,7.07,5.48,,0.1,***,1.3,6,"116,221,505",International
American Cent-20th Cent Intl Grth Adv,TWGAX,18.86,15.34,18.86,,,,0.05,,1.63,2,"23,816,154",International
American Cent-20th Cent Intl Grth Inv,TWIEX,19.01,15.21,19.01,17.7,11.68,,0.17,****,1.38,5,"2,640,040,865",International
UBS Non-U.S. Equity,UBNEX,13.44,16.86,13.44,10.12,,,0.24,***,1.81,3,"4,195,488",International
UMB Scout WorldWide,UMBWX,17.96,15.68,17.96,18.2,14.53,,1.69,*****,0.87,5,"100,161,261",International
Excelsior International,UMINX,7.91,16.34,7.91,8.16,5.87,6.87,0.55,***,1.43,2,"224,162,984",International
USAA International,USIFX,3.95,16.82,3.95,10.53,8.47,9.73,0.96,***,1.05,10,"531,010,714",International
Vanguard Total Intl Stock Index,VGTSX,15.6,20.49,15.6,,,,1.88,,0,2,"2,247,609,770",International
Vontobel International Equity,VNEPX,16.77,18.6,16.77,14.25,9.38,9.45,0,***,1.5,4,"159,735,852",International
Chase Vista Select Intl Equity,VSIEX,13.54,15.67,13.54,,,,2.93,,0.07,2,"231,290,132",International
Vanguard International Value,VTRIX,19.46,20.62,19.46,7.91,7.71,7.7,4.08,***,0.49,2,"809,248,098",International
Vanguard International Growth,VWIGX,16.93,17.79,16.93,11.76,10.07,9.74,1.16,****,0.59,17,"7,491,735,817",International
William Blair International Growth,WBIGX,11.46,16.51,11.46,10.01,7.37,,0.17,***,1.43,2,"139,693,476",International
Wright Intl Blue Chip Equities Stnd,WIBCX,6.14,16.85,6.14,9.17,7.77,,0.41,***,1.31,9,"193,370,136",International
